Model,Train_R2,Val_R2,Test_R2,Train_RMSE,Val_RMSE,Test_RMSE,Train_MAE,Val_MAE,Test_MAE
Support Vector Machine,0.060650160456964364,-0.06364787039242348,-1.1340846534925775,19.624205681455162,23.059964824512665,21.326043333299676,17.04123911674107,19.385151665101226,18.610906804891535
Random Forest,0.8492529211922148,-0.8727715234924867,-1.9436008921090817,7.861453625065002,30.598638414233402,25.046320226612135,6.746057142857146,26.8223,23.020500000000006
Decision Tree,1.0,-1.0763151907197184,-3.0566414629523573,0.0,32.218576163449555,29.402738307851536,0.0,29.069999999999997,23.134000000000004
Gradient Boosting,0.9999999991302747,-1.2102913962056858,-4.158626748770759,0.0005971307674795238,33.24179520767514,33.15671671972235,0.0005084029477491944,28.77736536722246,27.151934530006134
Ridge Regression,0.791148474138393,-1.214015451813891,-8.365650033623577,9.253312527857114,33.269787488153234,44.67591219273765,7.420555694947628,30.868643389071252,36.661186253825726
Lasso Regression,0.8666877262635837,-2.555994390972433,-4.6301571851087395,7.39287685575039,42.16384777048867,34.63895055616025,6.091753448803636,41.581650541145805,26.93008325409403
Linear Regression,0.9041777251866543,-7.688410441199782,-2.9970664243269844,6.267749669895451,65.90674563875606,29.186038346145065,5.181298928783822,62.44578111619272,26.46718382212516
